case_a,case_b,overlap_bars
CASE-013,CASE-033,0
CASE-013,CASE-034,0
CASE-013,CASE-035,0
CASE-013,CASE-036,0
CASE-013,CASE-037,0
CASE-013,CASE-038,0
CASE-013,CASE-039,0
CASE-013,CASE-040,0
CASE-013,CASE-041,0
CASE-013,CASE-042,0
CASE-013,CASE-043,0
CASE-013,CASE-044,0
CASE-013,CASE-045,0
CASE-014,CASE-015,0
CASE-014,CASE-016,0
CASE-014,CASE-017,0
CASE-014,CASE-018,0
CASE-014,CASE-019,0
CASE-014,CASE-020,0
CASE-014,CASE-021,0
CASE-014,CASE-022,0
CASE-014,CASE-023,0
CASE-014,CASE-024,0
CASE-014,CASE-025,0
CASE-014,CASE-026,0
CASE-014,CASE-027,0
CASE-014,CASE-028,0
CASE-014,CASE-029,0
CASE-014,CASE-030,0
CASE-014,CASE-031,0
CASE-014,CASE-032,0
CASE-014,CASE-033,0
CASE-014,CASE-034,0
CASE-014,CASE-035,0
CASE-014,CASE-036,0
CASE-014,CASE-037,0
CASE-014,CASE-038,0
CASE-014,CASE-039,0
CASE-014,CASE-040,0
CASE-014,CASE-041,0
CASE-014,CASE-042,0
CASE-014,CASE-043,0
CASE-014,CASE-044,0
CASE-014,CASE-045,0
CASE-015,CASE-016,0
CASE-015,CASE-017,0
CASE-015,CASE-018,0
CASE-015,CASE-019,0
CASE-015,CASE-020,0
CASE-015,CASE-021,0
CASE-015,CASE-022,0
CASE-015,CASE-023,0
CASE-015,CASE-024,0
CASE-015,CASE-025,0
CASE-015,CASE-026,0
CASE-015,CASE-027,0
CASE-015,CASE-028,0
CASE-015,CASE-029,0
CASE-015,CASE-030,0
CASE-015,CASE-031,0
CASE-015,CASE-032,0
CASE-015,CASE-033,0
CASE-015,CASE-034,0
CASE-015,CASE-035,0
CASE-015,CASE-036,0
CASE-015,CASE-037,0
CASE-015,CASE-038,0
CASE-015,CASE-039,0
CASE-015,CASE-040,0
CASE-015,CASE-041,0
CASE-015,CASE-042,0
CASE-015,CASE-043,0
CASE-015,CASE-044,0
CASE-015,CASE-045,0
CASE-016,CASE-017,0
CASE-016,CASE-018,0
CASE-016,CASE-019,0
CASE-016,CASE-020,0
CASE-016,CASE-021,0
CASE-016,CASE-022,0
CASE-016,CASE-023,0
CASE-016,CASE-024,0
CASE-016,CASE-025,0
CASE-016,CASE-026,0
CASE-016,CASE-027,0
CASE-016,CASE-028,0
CASE-016,CASE-029,0
CASE-016,CASE-030,0
CASE-016,CASE-031,0
CASE-016,CASE-032,0
CASE-016,CASE-033,0
CASE-016,CASE-034,0
CASE-016,CASE-035,0
CASE-016,CASE-036,0
CASE-016,CASE-037,0
CASE-016,CASE-038,0
CASE-016,CASE-039,0
CASE-016,CASE-040,0
CASE-016,CASE-041,0
CASE-016,CASE-042,0
CASE-016,CASE-043,0
CASE-016,CASE-044,0
CASE-016,CASE-045,0
CASE-017,CASE-018,0
CASE-017,CASE-019,0
CASE-017,CASE-020,0
CASE-017,CASE-021,0
CASE-017,CASE-022,0
CASE-017,CASE-023,0
CASE-017,CASE-024,0
CASE-017,CASE-025,0
CASE-017,CASE-026,0
CASE-017,CASE-027,0
CASE-017,CASE-028,0
CASE-017,CASE-029,0
CASE-017,CASE-030,0
CASE-017,CASE-031,0
CASE-017,CASE-032,0
CASE-017,CASE-033,0
CASE-017,CASE-034,0
CASE-017,CASE-035,0
CASE-017,CASE-036,0
CASE-017,CASE-037,0
CASE-017,CASE-038,0
CASE-017,CASE-039,0
CASE-017,CASE-040,0
CASE-017,CASE-041,0
CASE-017,CASE-042,0
CASE-017,CASE-043,0
CASE-017,CASE-044,0
CASE-017,CASE-045,0
CASE-018,CASE-019,0
CASE-018,CASE-020,0
CASE-018,CASE-021,0
CASE-018,CASE-022,0
CASE-018,CASE-023,0
CASE-018,CASE-024,0
CASE-018,CASE-025,0
CASE-018,CASE-026,0
CASE-018,CASE-027,0
CASE-018,CASE-028,0
CASE-018,CASE-029,0
CASE-018,CASE-030,0
CASE-018,CASE-031,0
CASE-018,CASE-032,0
CASE-018,CASE-033,0
CASE-018,CASE-034,0
CASE-018,CASE-035,0
CASE-018,CASE-036,0
CASE-018,CASE-037,0
CASE-018,CASE-038,0
CASE-018,CASE-039,0
CASE-018,CASE-040,0
CASE-018,CASE-041,0
CASE-018,CASE-042,0
CASE-018,CASE-043,0
CASE-018,CASE-044,0
CASE-018,CASE-045,0
CASE-019,CASE-020,0
CASE-019,CASE-021,0
CASE-019,CASE-022,0
CASE-019,CASE-023,0
CASE-019,CASE-024,0
CASE-019,CASE-025,0
CASE-019,CASE-026,0
CASE-019,CASE-027,0
CASE-019,CASE-028,0
CASE-019,CASE-029,0
CASE-019,CASE-030,0
CASE-019,CASE-031,0
CASE-019,CASE-032,0
CASE-019,CASE-033,0
CASE-019,CASE-034,0
CASE-019,CASE-035,0
CASE-019,CASE-036,0
CASE-019,CASE-037,0
CASE-019,CASE-038,0
CASE-019,CASE-039,0
CASE-019,CASE-040,0
CASE-019,CASE-041,0
CASE-019,CASE-042,0
CASE-019,CASE-043,0
CASE-019,CASE-044,0
CASE-019,CASE-045,0
CASE-020,CASE-021,0
CASE-020,CASE-022,0
CASE-020,CASE-023,0
CASE-020,CASE-024,0
CASE-020,CASE-025,0
CASE-020,CASE-026,0
CASE-020,CASE-027,0
CASE-020,CASE-028,0
CASE-020,CASE-029,0
CASE-020,CASE-030,0
CASE-020,CASE-031,0
CASE-020,CASE-032,0
CASE-020,CASE-033,0
CASE-020,CASE-034,0
CASE-020,CASE-035,0
CASE-020,CASE-036,0
CASE-020,CASE-037,0
CASE-020,CASE-038,0
CASE-020,CASE-039,0
CASE-020,CASE-040,0
CASE-020,CASE-041,0
CASE-020,CASE-042,0
CASE-020,CASE-043,0
CASE-020,CASE-044,0
CASE-020,CASE-045,0
CASE-021,CASE-022,0
CASE-021,CASE-023,0
CASE-021,CASE-024,0
CASE-021,CASE-025,0
CASE-021,CASE-026,0
CASE-021,CASE-027,0
CASE-021,CASE-028,0
CASE-021,CASE-029,0
CASE-021,CASE-030,0
CASE-021,CASE-031,0
CASE-021,CASE-032,0
CASE-021,CASE-033,0
CASE-021,CASE-034,0
CASE-021,CASE-035,0
CASE-021,CASE-036,0
CASE-021,CASE-037,0
CASE-021,CASE-038,0
CASE-021,CASE-039,0
CASE-021,CASE-040,0
CASE-021,CASE-041,0
CASE-021,CASE-042,0
CASE-021,CASE-043,0
CASE-021,CASE-044,0
CASE-021,CASE-045,0
CASE-022,CASE-023,0
CASE-022,CASE-024,0
CASE-022,CASE-025,0
CASE-022,CASE-026,0
CASE-022,CASE-027,0
CASE-022,CASE-028,0
